TERM;PSEUDO_ID;n_events;R_bar;mu_rad;mu_hours;TERM_GPA;chronot;F=1 M=0;SJL
Fall 2014;19491;33;0.5978805356369299;4.210434505896613;16.082675140275068;4.0;Finch;1.0;-0.74612825522757
Fall 2014;30559;85;0.3049833609145889;4.678752863208473;17.871519496439685;4.0;Finch;0.0;0.75485490148754
Fall 2014;79213;88;0.5063721425329962;4.355246145227724;16.63581485747796;3.0;Finch;0.0;-0.19853120241435
Fall 2014;87567;31;0.5646277117286949;5.348230436861931;20.428735459706477;4.0;Owl;1.0;1.20427718387608
Fall 2014;94175;28;0.5442839283117766;4.919984305448054;18.79295573151848;3.67;Finch;1.0;0.822486410002329
Fall 2014;95443;125;0.4824407868098756;4.256469438871484;16.258515631583585;3.75;Finch;1.0;-0.16580627893946
Fall 2014;96155;45;0.3908019572478157;4.334507960423853;16.556600826543015;3.5;Finch;1.0;-0.39269908169872
Fall 2014;97233;31;0.6574767853402264;3.740490188656183;14.287620074672825;4.0;Finch;;
Fall 2014;99993;50;0.2317896758649205;3.630997524616612;13.869388905532071;4.0;Finch;0.0;-0.70031336236273
Fall 2014;100013;36;0.4565640300005846;4.096364337822484;15.646959193675368;3.5;Finch;1.0;0.78539816339744
Fall 2014;100057;72;0.4552440888291673;4.128839968956632;15.771006967076056;4.0;Finch;1.0;-0.65231680793288
Fall 2014;101935;47;0.4716666696327934;4.302441369809912;16.43411547283951;4.0;Finch;;
Fall 2014;102043;86;0.5718351513698487;4.416467419921566;16.869662901235838;4.0;Finch;1.0;-0.39269908169873
Fall 2014;102295;159;0.5739968803586469;3.665121920950931;13.999734498091287;4.0;Lark;0.0;-0.0239982772149201
Fall 2014;104231;173;0.3307351725087586;4.031549197687576;15.39938359512342;3.5;Finch;1.0;0.37524578917878
Fall 2014;104981;65;0.416710675455373;3.253489130997811;12.42741305985736;4.0;Lark;0.0;0.16580627893946
Fall 2014;105237;89;0.5162493990116772;4.25430143023026;16.250234448577583;4.0;Finch;1.0;-0.51050880620835
Fall 2014;106621;56;0.2359891145151409;3.327915157083732;12.711699538567617;4.0;Finch;0.0;0.42106068204363
Fall 2014;106837;27;0.7184693483191616;3.1568956927628355;12.058453303889246;4.0;Lark;1.0;-0.74612825522758
Fall 2014;108375;120;0.5715653846826769;3.072682943827961;11.73678429754504;4.0;Lark;0.0;-0.21162117180431
Fall 2014;113517;178;0.4388715463137781;4.291068181880123;16.39067309497377;3.5;Finch;1.0;0.18325957145941
Fall 2014;119981;43;0.7579877789072876;3.659525646590821;13.978358304635847;3.0;Finch;;
Fall 2014;121407;45;0.5806535622155494;3.445953398651016;13.16257240943102;3.0;Lark;1.0;0.19634954084937
Fall 2014;122229;184;0.3963923963705166;4.056085154208748;15.493104045455397;3.3999999999999995;Finch;0.0;-0.26179938779915
Fall 2014;122541;35;0.304257693933341;3.798651373839396;14.50977943750462;3.5;Finch;1.0;-0.50396382151336
Fall 2014;124123;43;0.5595122435774926;3.024818848528394;11.553956920819894;4.0;Lark;0.0;-0.0741764932097699
Fall 2014;124959;203;0.5398094489134784;3.471881858307815;13.26161182993834;4.0;Lark;1.0;-0.32288591161895
Fall 2014;125731;52;0.3450177148457019;3.236490329159861;12.362482419717775;4.0;Lark;1.0;-1.14319066005629
Fall 2014;128821;40;0.5177040004438564;3.848870554898607;14.701602579191029;4.0;Finch;0.0;0.0959931088596799
Fall 2014;132411;35;0.4036980733146266;4.568851417293682;17.45172689555283;3.0;Finch;0.0;-0.31415926535898
Fall 2014;132429;54;0.2786328845292947;3.4443709300047622;13.156527824454878;4.0;Lark;0.0;-0.20289452554434
Fall 2014;135275;28;0.4833829659253451;4.457923789013595;17.028014566763165;4.0;Finch;;
Fall 2014;141231;39;0.5541848006159806;3.904623125784416;14.914561713108414;3.5;Finch;;
Fall 2014;145299;52;0.5356729643867276;3.1759854740834257;12.131370897322412;4.0;Lark;1.0;0.55196037594321
Fall 2014;149345;43;0.2154127366537932;4.459486892587085;17.033985182610017;3.3300000000000005;Finch;1.0;2.06603350204829
Fall 2014;153127;33;0.0966987101241673;5.95989871951181;22.76513619689669;3.5;Lark;0.0;-0.50614548307836
Fall 2014;159683;29;0.5346644142644348;5.245879560917465;20.037783911634143;0.0;;;
Fall 2014;164651;40;0.5969934793179974;3.757275940724622;14.351736924637796;4.0;Finch;0.0;-0.1570796326795
Fall 2014;165473;81;0.5042049422914519;4.36157820808285;16.660001555958644;3.25;Finch;1.0;-0.0567232006898193
Fall 2014;166361;37;0.4382205378144104;3.885412930576437;14.841184172505772;4.0;Finch;1.0;0.16144295580948
Fall 2014;171535;92;0.3485630167552767;4.5664799671145735;17.4426686231136;3.0;Finch;1.0;-0.17671458676442
Fall 2014;178571;30;0.3855849185685264;4.236836612743782;16.183523759781487;4.0;Finch;1.0;0.986111027376789
Fall 2014;208167;35;0.5192123910928301;4.156485972627333;15.876606922458349;4.0;Finch;0.0;0.96429441172686
Fall 2014;212093;47;0.2711433656815415;3.534104893605618;13.499286317342182;4.0;Lark;;
Fall 2014;220041;32;0.221680933335817;3.844522976259879;14.684996052051003;0.0;;;
Fall 2014;227223;44;0.3907750751398815;4.398189671463601;16.79984704485963;4.0;Finch;1.0;0.534507083423259
Fall 2014;232655;41;0.5579850503388013;4.82115134838159;18.415441643738077;3.5;Finch;1.0;0.287979326579061
Fall 2014;234947;30;0.3387641808275135;4.559480757070372;17.415933610083048;2.5;Finch;0.0;0.27488935718911
